ID;location;depth;habitat_certainty;lat;lon
494;River_Cleddau;;HH;51.67913;-4.95729
495;Haisborough_and_Wells_(norfolk);;HH;52.94117;1.25657
496;Portland_Bill;;HH;50.52128;-2.42304
497;Rochefort;;HH;46.01404;-1.21938
498;Marennes;;HH;45.8362;-1.1823
499;Ile_de_Oleron;;HH;45.92512;-1.2008
500;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
501;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
502;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
503;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
504;Tenby_and_Caldy_Island;;HH;51.62767;-4.64417
505;English_Channel;;HL;50.29816;-0.08753
506;Ru_Ruag_to_Gruinard_Bay_-_including_Loch_Ewe_and_Gairloch;;HH;57.75244;-5.50899
507;Kenmare_River;;HH;51.78122;-9.78702
508;Kenmare_River;;HH;51.78122;-9.78702
509;Loch_Ewe_and_Gairlock;;HH;57.75244;-5.50899
510;Arklow;;HH;52.72161;-6.07866
511;Burren;;HH;;
512;Carlingford_Lough;;HH;54.07051;-6.29011
513;Colne;;HH;51.83923;1.03365
514;Firth_of_Forth;;HH;55.99953;-3.158
515;Guernsey;;HH;49.37117;-2.12495
516;Jersey;;HH;49.29731;-1.96682
517;Lissadell;;HH;54.37669;-8.64313
518;Malahide;;HH;53.4398;-6.19872
519;Wexford;;HH;52.3127;-6.37986
520;Douglas,_Isle_of_Man;;HH;54.12307;-4.42669
521;Ardbeur_Bay,_Galway;;HH;53.48763;-10.12593
522;Arklow;;HH;52.72161;-6.07866
523;Ballaugh,_Isle_of_Man;;HH;54.38639;-4.51988
524;Ballisodare,_Sligo;;HH;54.20387;-8.56343
525;Ballyconeely,_Galway;;HH;53.40177;-10.08413
526;Bardsey;;HH;52.80459;-4.73965
527;Beaumaris;;HH;53.262;-3.97869
528;Blacksod_Bay;;HH;54.16262;-9.9812
529;Caernarvon_Bay;;HH;53.12169;-4.39073
